                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3591,                 3.4571,                 1.6722,                0.00318,                   0.25,                0.04248,                 0.0362,                 1.5201,                 5.4778,                 2.0203,                      0,                      0,                      0
                      2,                 1.5846,                 4.0201,                 1.9903,                 0.0029,                   0.25,                0.04067,                0.03368,                 1.4593,                 5.5839,                 1.9932,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                   1.01,                 2.7403,                 1.5398,                0.04731,                   0.75,                0.05471,                0.04336,                 1.3332,                 5.5645,                 1.8538,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 1.1794,                 2.9375,                 1.6086,                0.01323,                0.33333,                0.07137,                  0.048,                 1.2219,                 5.2194,                 1.7781,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 1.2617,                 2.5591,                 1.6556,                0.06387,                0.41667,                 0.1495,                0.10254,                 1.0817,                 4.9562,                 1.7953,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                0.70718,                 2.1704,                 1.2977,                 0.6179,                0.41667,                0.46819,                 0.3864,                  1.042,                 4.6472,                  1.707,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                0.82091,                 1.5949,                 1.4351,                 0.3095,                0.91667,                0.44981,                0.36509,                0.97923,                 4.4795,                 1.6645,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                0.86878,                 1.7758,                  1.408,                0.32614,                0.91667,                0.70605,                0.58389,                0.96721,                 4.8469,                 1.6653,              0.0001086,              0.0001086,              0.0001086
                      9,                0.56635,                 1.6521,                 1.1335,                0.52988,                0.66667,                   0.62,                 0.5135,                0.92084,                 6.4745,                 1.6261,              0.0001228,              0.0001228,              0.0001228
                     10,                0.39995,                   1.44,                 1.2246,                0.50033,                0.58333,                0.49788,                0.44794,                0.80233,                 8.9837,                 1.4675,             0.00013666,             0.00013666,             0.00013666
                     11,                 0.6018,                 1.4676,                 1.2991,                0.50033,                0.58333,                0.49784,                0.44792,                0.78228,                 10.627,                 1.4412,              0.0001502,              0.0001502,              0.0001502
                     12,                0.57017,                 1.4772,                 1.3111,                0.98415,                    0.5,                0.58038,                 0.4893,                0.80482,                 10.868,                 1.4252,              0.0001634,              0.0001634,              0.0001634
                     13,                0.59192,                  1.441,                 1.2024,                0.78076,                0.73581,                0.75441,                0.63541,                0.88356,                 9.2777,                 1.5394,             0.00017628,             0.00017628,             0.00017628
                     14,                0.56288,                 1.2881,                 1.3656,                0.78099,                0.80023,                0.75178,                0.63589,                0.94344,                 7.2472,                 1.5616,             0.00018882,             0.00018882,             0.00018882
                     15,                0.48674,                  1.047,                 1.1114,                 0.5486,                      1,                0.89843,                0.72309,                0.95272,                  5.463,                 1.5348,             0.00020103,             0.00020103,             0.00020103
                     16,                0.46514,                0.95187,                 1.1667,                0.72572,                      1,                0.95375,                0.78242,                0.87562,                 4.0123,                 1.4348,             0.00021292,             0.00021292,             0.00021292
                     17,                0.71456,                 1.0524,                 1.3294,                0.89594,                      1,                0.95929,                0.88077,                0.74852,                 3.3293,                 1.3549,             0.00022447,             0.00022447,             0.00022447
                     18,                0.34691,                0.87109,                  1.034,                0.89594,                      1,                0.95929,                0.88077,                0.74852,                 3.3293,                 1.3549,              0.0002357,              0.0002357,              0.0002357
